taxa,for_supplement,group,col
Actiniarian,Actiniarian_general,Actiniarians,#DECBE4
Actiniarian...Hormathia.,Actiniarian_Hormathia,Actiniarians,#DECBE4
Alcyonium,Alcyonium,Octocorals,#E7298A
Amphiura.Ophioperla.arms,Amphiura_Ophioperla,Ophiuroids,#FDCDAC
Anemone.venus.flytrap,Anemone_Venus_flytrap,Actiniarians,#DECBE4
Anthomastus,Anthomastus,Octocorals,#E7298A
Astrochlamys.arms,Astrochlamys_sol,Ophiuroids,#FDCDAC
Brittle.star.general,Brittle_star_general,Ophiuroids,#FDCDAC
Brownish.brittle.star.arms,Brittle_star_brown,Ophiuroids,#FDCDAC
Bryozoan,Bryozoan,Bryozoans,#FFF2AE
Cucumbers,Holothurians,Holothurians,#E5C494
dead.cup.corals,Cup_corals_dead,Cup_corals,#FCCDE5
Demosponge.Isodictya.,Demosponge_Isodictya,Demosponges,#E78AC3
Demosponges,Demosponges,Demosponges,#E78AC3
Donut.sponges,Donut_Sponges,Glass_sponges,#FB9A99
Echinoid...Sterechinus,Echinoid_Sterechinus,Echinoids,#666666
Glass.sponges,Glass_Sponges,Glass_sponges,#FB9A99
Gorgonian,Gorgonian_general,Gorgonians,#BC80BD
Hard.corals,Hard_corals,Hard_corals,#CCCCCC
Marseniopsis..possibly....gastropod,Gastropod_Marseniopsis,Gastropods,#B3DE69
Nemertean.worm,Nemertean,Worms,#7FC97F
Notocrinus,Notocrinus,Crinoids,#D9D9D9
Nudibranch.Doris,Nudibranch_Doris,Nudibranchs,#386CB0
Octocoral.Bayergorgia.vermidoma,Octocoral_Bayergorgia_vermidoma,Octocorals,#E7298A
Octopus.Pareledone,Octopus_Pareledone,Octopus,#6A3D9A
Ophiocantha.vivipara.arms,Ophiacantha_vivipara,Ophiuroids,#FDCDAC
pencil.urchins,Pencil_urchins,Pencil_urchins,#A6761D
Pink.Actiniarian,Actiniarian_pink,Actiniarians,#DECBE4
pink.cup.corals,Cup_corals_pink,Cup_corals,#FCCDE5
Primnoella,Primnoella,Gorgonians,#BC80BD
Primnoisis,Primnoisis,Gorgonians,#BC80BD
Promachocrinus,Promachocrinus,Crinoids,#D9D9D9
Pycnogonids,Pycnogonids,Pycnogonids,#E6AB02
Red.Actiniarian,Actiniarian_red,Actiniarians,#DECBE4
red.cup.corals,Cup_corals_red,Cup_corals,#FCCDE5
Sea.cucumber...bathyplotes.,Holothurian_Bathyplotes,Holothurians,#E5C494
Sponge...Tetilla.,Sponge_Tetilla,Demosponges,#E78AC3
Starfish.Acodontaster,Starfish_Acodontaster,Starfish,#CC99FF
Starfish.Brisingid,Starfish_Brisingid,Starfish,#CC99FF
Starfish.Cheiraster.,Starfish_Cheiraster,Starfish,#CC99FF
Starfish.cushion.type,Starfish_cushion_type,Starfish,#CC99FF
Starfish.Diplasterias,Starfish_Diplasterias,Starfish,#CC99FF
Starfish.General,Starfish_general,Starfish,#CC99FF
Starfish.Hymenaster,Starfish_Hymenaster,Starfish,#CC99FF
Starfish.Odontaster,Starfish_Odontaster,Starfish,#CC99FF
Starfish.Perknaster,Starfish_Perknaster,Starfish,#CC99FF
Starfish.Solaster,Starfish_Solaster,Starfish,#CC99FF
Starfish.Tremaster.mirabilis,Starfish_Tremaster_mirabilis,Starfish,#CC99FF
Stylasterids,Stylasterids,Stylasterids,#8DD3C7
Thouarella,Thouarella,Gorgonians,#BC80BD
Trichogorgia.utinomii,Trichogorgia_utinomii,Gorgonians,#BC80BD
Unknown.Gorgonian.Sponge,Gorgonian_unknown,Gorgonians,#BC80BD
Worm.tubes,Worm_tubes,Worms,#7FC97F
encrustPercent,encrustPercent,Encrusters,#808080
fish,Fish,Fish,#A6CEE3
