,Amphiura/Ophioperla,Astrochlamys_sol,Lace_corals,Ophiacantha_vivipara,Pencil_urchins,Stylasterids,starfish,Glass_sponges,Demosponges,Holothurians,Octocorals,Cup_corals,Gorgonians,Actiniarians,Encrusters
HOTKEY_2019_03_31_at_12_25_58_IMG_0590,1,1,1,2,0,1,2,1,2,0,2,2,1,1,3
HOTKEY_2019_03_31_at_13_02_14_IMG_0734,1,1,1,1,0,2,1,1,1,1,2,1,1,1,2
HOTKEY_2019_03_31_at_13_21_23_IMG_0816,1,1,1,1,1,1,1,1,2,1,1,0,1,1,1
HOTKEY_2019_03_31_at_13_30_13_IMG_0853,2,2,1,2,1,2,1,2,2,2,0,2,2,1,4
HOTKEY_2019_03_31_at_13_56_19_IMG_0956,1,2,1,1,2,2,2,2,2,2,0,1,2,1,1
HOTKEY_2019_03_31_at_14_08_20_IMG_1011,1,2,1,1,1,1,0,1,2,1,2,2,1,0,1
HOTKEY_2019_03_31_at_14_30_54_IMG_1106,2,1,0,2,1,1,2,1,1,2,2,1,1,0,4
HOTKEY_2019_03_31_at_14_50_27_IMG_1185,2,1,2,2,0,2,2,1,1,2,1,1,2,1,4
HOTKEY_2019_03_31_at_14_52_25_IMG_1195,2,1,0,2,1,1,1,1,1,1,1,0,1,0,4
HOTKEY_2019_03_31_at_14_54_01_IMG_1208,2,1,0,2,0,2,1,1,1,1,1,1,1,0,4
HOTKEY_2019_03_31_at_14_56_36_IMG_1224,2,2,0,2,0,2,2,2,2,2,1,1,2,1,4
TIMER_2019_03_31_at_01_54_37_IMG_0148,2,1,0,1,0,2,1,2,2,1,2,1,2,1,1
TIMER_2019_03_31_at_02_01_20_IMG_0178,2,1,2,1,1,1,1,2,2,1,2,1,2,0,2
TIMER_2019_03_31_at_02_03_40_IMG_0188,1,1,1,1,0,2,1,1,1,0,0,0,1,0,1
TIMER_2019_03_31_at_05_45_45_IMG_0246,1,2,0,1,0,2,1,1,1,0,0,1,1,0,2
TIMER_2019_03_31_at_10_54_16_IMG_0231,1,1,0,1,1,2,0,1,1,1,0,0,1,1,2
TIMER_2019_03_31_at_11_03_16_IMG_0266,1,1,2,1,1,2,1,2,2,1,1,1,2,1,1
TIMER_2019_03_31_at_11_07_21_IMG_0282,2,1,1,1,1,2,2,1,1,1,0,1,1,1,3
TIMER_2019_03_31_at_11_14_40_IMG_0310,2,2,2,1,1,2,2,1,1,1,1,2,1,1,1
TIMER_2019_03_31_at_11_15_59_IMG_0315,2,2,2,1,1,2,1,1,1,1,1,2,1,0,3
TIMER_2019_03_31_at_11_20_38_IMG_0333,1,1,1,1,0,2,1,1,1,0,0,0,1,1,3
TIMER_2019_03_31_at_11_33_02_IMG_0381,1,2,2,1,1,1,1,2,2,2,1,1,1,1,2
TIMER_2019_03_31_at_11_52_14_IMG_0455,1,1,1,2,1,1,2,2,2,0,2,2,2,0,3
TIMER_2019_03_31_at_11_53_00_IMG_0458,2,2,2,2,1,1,2,2,2,1,2,2,2,1,4
TIMER_2019_03_31_at_11_53_15_IMG_0459,1,1,2,2,1,1,1,2,1,0,2,2,2,0,3
TIMER_2019_03_31_at_11_56_08_IMG_0470,1,2,1,2,2,1,2,2,2,2,2,2,2,0,3
TIMER_2019_03_31_at_12_02_22_IMG_0494,2,2,2,1,0,2,2,1,1,1,0,2,1,1,3
TIMER_2019_03_31_at_12_17_53_IMG_0555,1,2,1,1,2,1,0,2,1,1,2,2,2,0,3
TIMER_2019_03_31_at_12_53_47_IMG_0700,2,1,1,1,1,1,2,2,1,2,1,1,2,1,2
TIMER_2019_03_31_at_13_02_51_IMG_0738,2,1,1,2,2,1,1,1,2,2,1,1,1,1,2
TIMER_2019_03_31_at_13_24_07_IMG_0828,1,2,2,1,0,1,2,2,2,2,0,1,2,0,1
TIMER_2019_03_31_at_13_31_35_IMG_0859,1,2,2,2,2,2,2,2,2,2,0,2,2,0,2
TIMER_2019_03_31_at_13_48_30_IMG_0926,1,2,2,2,1,1,1,2,1,2,0,1,2,1,1
TIMER_2019_03_31_at_13_52_41_IMG_0942,1,2,1,1,2,2,2,2,2,2,1,1,2,1,2
TIMER_2019_03_31_at_13_59_13_IMG_0970,1,2,2,2,0,2,1,2,2,2,1,2,2,1,1
TIMER_2019_03_31_at_14_10_49_IMG_1023,1,2,1,2,0,2,1,2,2,2,2,2,2,1,4
TIMER_2019_03_31_at_14_35_10_IMG_1124,2,1,2,2,1,1,2,1,1,0,1,1,1,0,4
TIMER_2019_03_31_at_14_37_45_IMG_1134,2,1,2,2,2,1,1,2,2,2,2,1,2,1,2
TIMER_2019_03_31_at_14_38_48_IMG_1139,2,1,1,2,1,1,1,1,1,1,0,0,1,0,4
TIMER_2019_03_31_at_14_55_41_IMG_1220,2,1,2,2,1,1,2,1,1,1,0,0,1,0,3
