"","Actiniarians","Astrochlamys","Amphiura_Ophioperla","Holothurians","Cup_corals","Demosponges","Glass_Sponges","Hard_corals","Octocorals","Ophiacantha_vivipara","Pencil_urchins","Starfish","Stylasterids","encrusters"
"HOTKEY_2019_03_31_at_12_25_58_IMG_0590",1,1,1,0,2,2,1,1,2,2,0,2,1,3
"HOTKEY_2019_03_31_at_13_02_14_IMG_0734",1,1,1,1,1,1,1,1,2,1,0,1,2,2
"HOTKEY_2019_03_31_at_13_21_23_IMG_0816",1,1,1,1,0,2,1,1,1,1,1,1,1,1
"HOTKEY_2019_03_31_at_13_30_13_IMG_0853",1,2,2,2,2,2,2,1,0,2,1,1,2,4
"HOTKEY_2019_03_31_at_13_56_19_IMG_0956",1,2,1,2,1,2,2,1,0,1,2,2,2,1
"HOTKEY_2019_03_31_at_14_08_20_IMG_1011",0,2,1,1,2,2,1,1,2,1,1,0,1,1
"HOTKEY_2019_03_31_at_14_30_54_IMG_1106",0,1,2,2,1,1,1,0,2,2,1,2,1,4
"HOTKEY_2019_03_31_at_14_50_27_IMG_1185",1,1,2,2,1,1,1,2,1,2,0,2,2,4
"HOTKEY_2019_03_31_at_14_52_25_IMG_1195",0,1,2,1,0,1,1,0,1,2,1,1,1,4
"HOTKEY_2019_03_31_at_14_54_01_IMG_1208",0,1,2,1,1,1,1,0,1,2,0,1,2,4
"HOTKEY_2019_03_31_at_14_56_36_IMG_1224",1,2,2,2,1,2,2,0,1,2,0,2,2,4
"TIMER_2019_03_31_at_01_54_37_IMG_0148",1,1,2,1,1,2,2,0,2,1,0,1,2,1
"TIMER_2019_03_31_at_02_01_20_IMG_0178",0,1,2,1,1,2,2,2,2,1,1,1,1,2
"TIMER_2019_03_31_at_02_03_40_IMG_0188",0,1,1,0,0,1,1,1,0,1,0,1,2,1
"TIMER_2019_03_31_at_05_45_45_IMG_0246",0,2,1,0,1,1,1,0,0,1,0,1,2,2
"TIMER_2019_03_31_at_10_54_16_IMG_0231",1,1,1,1,0,1,1,0,0,1,1,0,2,2
"TIMER_2019_03_31_at_11_03_16_IMG_0266",1,1,1,1,1,2,2,2,1,1,1,1,2,1
"TIMER_2019_03_31_at_11_07_21_IMG_0282",1,1,2,1,1,1,1,1,0,1,1,2,2,3
"TIMER_2019_03_31_at_11_14_40_IMG_0310",1,2,2,1,2,1,1,2,1,1,1,2,2,1
"TIMER_2019_03_31_at_11_15_59_IMG_0315",0,2,2,1,2,1,1,2,1,1,1,1,2,3
"TIMER_2019_03_31_at_11_20_38_IMG_0333",1,1,1,0,0,1,1,1,0,1,0,1,2,3
"TIMER_2019_03_31_at_11_33_02_IMG_0381",1,2,1,2,1,2,2,2,1,1,1,1,1,2
"TIMER_2019_03_31_at_11_52_14_IMG_0455",0,1,1,0,2,2,2,1,2,2,1,2,1,3
"TIMER_2019_03_31_at_11_53_00_IMG_0458",1,2,2,1,2,2,2,2,2,2,1,2,1,4
"TIMER_2019_03_31_at_11_53_15_IMG_0459",0,1,1,0,2,1,2,2,2,2,1,1,1,3
"TIMER_2019_03_31_at_11_56_08_IMG_0470",0,2,1,2,2,2,2,1,2,2,2,2,1,3
"TIMER_2019_03_31_at_12_02_22_IMG_0494",1,2,2,1,2,1,1,2,0,1,0,2,2,3
"TIMER_2019_03_31_at_12_17_53_IMG_0555",0,2,1,1,2,1,2,1,2,1,2,0,1,3
"TIMER_2019_03_31_at_12_53_47_IMG_0700",1,1,2,2,1,1,2,1,1,1,1,2,1,2
"TIMER_2019_03_31_at_13_02_51_IMG_0738",1,1,2,2,1,2,1,1,1,2,2,1,1,2
"TIMER_2019_03_31_at_13_24_07_IMG_0828",0,2,1,2,1,2,2,2,0,1,0,2,1,1
"TIMER_2019_03_31_at_13_31_35_IMG_0859",0,2,1,2,2,2,2,2,0,2,2,2,2,2
"TIMER_2019_03_31_at_13_48_30_IMG_0926",1,2,1,2,1,1,2,2,0,2,1,1,1,1
"TIMER_2019_03_31_at_13_52_41_IMG_0942",1,2,1,2,1,2,2,1,1,1,2,2,2,2
"TIMER_2019_03_31_at_13_59_13_IMG_0970",1,2,1,2,2,2,2,2,1,2,0,1,2,1
"TIMER_2019_03_31_at_14_10_49_IMG_1023",1,2,1,2,2,2,2,1,2,2,0,1,2,4
"TIMER_2019_03_31_at_14_35_10_IMG_1124",0,1,2,0,1,1,1,2,1,2,1,2,1,4
"TIMER_2019_03_31_at_14_37_45_IMG_1134",1,1,2,2,1,2,2,2,2,2,2,1,1,2
"TIMER_2019_03_31_at_14_38_48_IMG_1139",0,1,2,1,0,1,1,1,0,2,1,1,1,4
"TIMER_2019_03_31_at_14_55_41_IMG_1220",0,1,2,1,0,1,1,2,0,2,1,2,1,3
