"","Hymenaster","Amphiura_Ophioperla","Anthomastus","Astrochlamys","Holothurians","dead_cup_corals","Demosponges","Glass_sponges","Hard_corals","Ophiocantha_vivipara","Pencil_urchins","red_cup_corals","Stylasterids","Encrusters"
"HOTKEY_2019_03_31_at_12_25_58_IMG_0590",1,1,1,1,0,2,2,1,1,2,0,2,1,3
"HOTKEY_2019_03_31_at_13_02_14_IMG_0734",1,1,2,1,1,1,1,1,1,1,0,1,2,2
"HOTKEY_2019_03_31_at_13_21_23_IMG_0816",1,1,1,1,1,1,2,1,1,1,1,0,1,1
"HOTKEY_2019_03_31_at_13_30_13_IMG_0853",1,2,0,2,2,1,2,2,1,2,1,2,2,4
"HOTKEY_2019_03_31_at_13_56_19_IMG_0956",0,1,0,2,2,1,2,2,1,1,2,2,2,1
"HOTKEY_2019_03_31_at_14_08_20_IMG_1011",0,1,0,2,1,2,2,1,1,1,1,2,1,1
"HOTKEY_2019_03_31_at_14_30_54_IMG_1106",1,2,2,1,2,1,1,1,0,2,1,0,1,4
"HOTKEY_2019_03_31_at_14_50_27_IMG_1185",1,2,1,1,2,2,1,1,2,2,0,0,2,4
"HOTKEY_2019_03_31_at_14_52_25_IMG_1195",0,2,1,1,1,1,1,1,0,2,1,0,1,4
"HOTKEY_2019_03_31_at_14_54_01_IMG_1208",0,2,1,1,1,1,1,1,0,2,0,1,2,4
"HOTKEY_2019_03_31_at_14_56_36_IMG_1224",0,2,2,2,2,2,2,2,0,2,0,0,2,4
"TIMER_2019_03_31_at_01_54_37_IMG_0148",0,2,1,1,1,1,2,2,0,1,0,0,2,1
"TIMER_2019_03_31_at_02_01_20_IMG_0178",0,2,0,1,1,1,2,2,2,1,1,1,1,2
"TIMER_2019_03_31_at_02_03_40_IMG_0188",0,1,0,1,0,1,1,1,1,1,0,0,2,1
"TIMER_2019_03_31_at_05_45_45_IMG_0246",0,1,0,2,0,2,1,1,0,1,0,1,2,2
"TIMER_2019_03_31_at_10_54_16_IMG_0231",0,1,0,1,1,1,1,1,0,1,1,0,2,2
"TIMER_2019_03_31_at_11_03_16_IMG_0266",0,1,1,1,1,1,2,2,2,1,1,1,2,1
"TIMER_2019_03_31_at_11_07_21_IMG_0282",1,2,0,1,1,1,1,1,1,1,1,0,2,3
"TIMER_2019_03_31_at_11_14_40_IMG_0310",0,2,1,2,1,2,1,1,2,1,1,0,2,1
"TIMER_2019_03_31_at_11_15_59_IMG_0315",1,2,1,2,1,2,1,1,2,1,1,0,2,3
"TIMER_2019_03_31_at_11_20_38_IMG_0333",0,1,0,1,0,1,1,1,1,1,0,0,2,3
"TIMER_2019_03_31_at_11_33_02_IMG_0381",0,1,1,2,2,2,2,2,2,1,1,1,1,2
"TIMER_2019_03_31_at_11_52_14_IMG_0455",1,1,2,1,0,2,2,2,1,2,1,1,1,3
"TIMER_2019_03_31_at_11_53_00_IMG_0458",1,2,2,2,1,2,2,2,2,2,1,2,1,4
"TIMER_2019_03_31_at_11_53_15_IMG_0459",0,1,2,1,0,2,1,2,2,2,1,2,1,3
"TIMER_2019_03_31_at_11_56_08_IMG_0470",0,1,1,2,2,2,2,2,1,2,2,2,1,3
"TIMER_2019_03_31_at_12_02_22_IMG_0494",1,2,0,2,0,2,1,1,2,1,0,2,2,3
"TIMER_2019_03_31_at_12_17_53_IMG_0555",0,1,2,2,1,2,1,2,1,1,2,1,1,3
"TIMER_2019_03_31_at_12_53_47_IMG_0700",0,2,1,1,2,1,1,2,1,1,1,0,1,2
"TIMER_2019_03_31_at_13_02_51_IMG_0738",1,2,2,1,2,1,2,1,1,2,2,1,1,2
"TIMER_2019_03_31_at_13_24_07_IMG_0828",1,1,0,2,2,1,2,2,2,1,0,1,1,1
"TIMER_2019_03_31_at_13_31_35_IMG_0859",1,1,0,2,2,1,2,2,2,2,2,1,2,2
"TIMER_2019_03_31_at_13_48_30_IMG_0926",0,1,0,2,2,1,1,2,2,2,1,2,1,1
"TIMER_2019_03_31_at_13_52_41_IMG_0942",1,1,1,2,2,1,2,2,1,1,2,1,2,2
"TIMER_2019_03_31_at_13_59_13_IMG_0970",0,1,1,2,2,2,2,2,2,2,0,2,2,1
"TIMER_2019_03_31_at_14_10_49_IMG_1023",0,1,2,2,2,2,2,2,1,2,0,2,2,4
"TIMER_2019_03_31_at_14_35_10_IMG_1124",1,2,0,1,0,2,1,1,2,2,1,0,1,4
"TIMER_2019_03_31_at_14_37_45_IMG_1134",0,2,2,1,2,2,2,2,2,2,2,0,1,2
"TIMER_2019_03_31_at_14_38_48_IMG_1139",1,2,0,1,1,1,1,1,1,2,1,0,1,4
"TIMER_2019_03_31_at_14_55_41_IMG_1220",1,2,0,1,1,1,1,1,2,2,1,0,1,3
